income,property_value,loan_amount,interest_rate,race_Black,race_Joint,race_Multiracial,race_Native American,race_Pacific Islander,race_Unknown,race_White,covenant_count
392.0,495000.0,365000.0,7.625,False,False,False,False,False,False,False,292.0
170.0,275000.0,225000.0,6.99,False,False,False,False,False,False,True,0.0
77.0,235000.0,235000.0,7.625,False,False,False,False,False,False,True,0.0
66.0,255000.0,255000.0,6.999,False,False,False,False,False,True,False,0.0
139.0,355000.0,225000.0,7.125,False,False,False,False,False,False,True,0.0
112.0,345000.0,275000.0,4.99,False,False,False,False,False,False,True,0.0
325.0,755000.0,85000.0,8.125,False,False,False,False,False,False,True,0.0
170.0,575000.0,425000.0,6.75,False,False,False,False,False,False,True,0.0
129.0,405000.0,375000.0,6.375,False,False,False,False,False,False,False,0.0
265.0,725000.0,475000.0,6.25,False,True,False,False,False,False,False,0.0
58.0,235000.0,15000.0,0.0,False,False,False,False,False,False,False,0.0
70.0,245000.0,235000.0,6.5,False,False,False,False,False,False,True,0.0
335.0,1055000.0,845000.0,6.5,False,False,False,False,False,True,False,70.0
96.0,385000.0,365000.0,5.75,False,False,False,False,False,True,False,0.0
106.0,305000.0,295000.0,6.75,False,False,False,False,False,False,True,0.0
96.0,515000.0,235000.0,6.3,False,False,False,False,False,True,False,206.0
86.0,245000.0,15000.0,7.125,False,False,False,False,False,False,True,0.0
385.0,475000.0,455000.0,7.49,False,False,False,False,False,False,True,0.0
96.0,475000.0,485000.0,5.625,False,False,False,False,False,True,False,0.0
43.0,215000.0,15000.0,0.0,False,False,False,False,False,False,True,0.0
576.0,875000.0,705000.0,7.625,False,False,False,False,False,False,True,0.0
52.0,195000.0,185000.0,7.75,False,False,False,False,False,False,True,0.0
184.0,365000.0,345000.0,5.875,False,False,False,False,False,False,True,403.0
70.0,285000.0,205000.0,5.999,False,False,False,False,False,False,True,0.0
103.0,615000.0,425000.0,6.25,False,False,False,False,False,False,True,0.0
96.0,815000.0,575000.0,7.25,False,False,False,False,False,True,False,0.0
53.0,255000.0,215000.0,7.5,False,False,False,False,False,False,True,0.0
117.0,305000.0,295000.0,7.25,False,False,False,False,False,False,True,0.0
94.0,205000.0,175000.0,6.5,False,False,False,False,False,False,True,0.0
96.0,175000.0,155000.0,3.75,False,False,False,False,False,True,False,0.0
96.0,315000.0,175000.0,7.25,False,False,False,False,False,True,False,0.0
110.0,345000.0,125000.0,6.75,False,False,False,False,False,False,True,0.0
205.0,365000.0,345000.0,6.625,False,False,False,False,False,False,True,0.0
56.0,175000.0,165000.0,7.125,False,False,False,False,False,False,True,0.0
137.0,605000.0,425000.0,6.5,False,False,False,False,False,False,True,0.0
89.0,245000.0,235000.0,6.25,False,False,False,False,False,False,True,0.0
165.0,355000.0,335000.0,5.375,False,False,False,False,False,True,False,0.0
68.0,325000.0,305000.0,6.25,True,False,False,False,False,False,False,196.0
114.0,435000.0,345000.0,7.5,False,False,False,False,False,False,True,0.0
169.0,275000.0,225000.0,7.875,False,False,False,False,False,True,False,0.0
150.0,375000.0,355000.0,6.875,False,False,False,False,False,False,True,0.0
