income,property_value,loan_amount,interest_rate,black_high_density,black_vhigh_density,race_Black,race_Joint,race_Multiracial,race_Native American,race_Pacific Islander,race_Unknown,race_White,cd_High (101-200),cd_Low (1-50),cd_Medium (51-100),cd_Very High (>200)
63.0,295000.0,285000.0,6.0,False,False,True,False,False,False,False,False,False,False,False,False,False
83.0,395000.0,375000.0,6.2,False,False,False,False,False,False,False,False,True,False,False,False,False
269.0,595000.0,475000.0,6.625,False,False,False,False,False,False,False,True,False,False,False,False,False
503.0,355000.0,255000.0,5.75,False,False,False,False,False,False,False,False,True,False,False,False,False
47.0,245000.0,195000.0,6.49,False,False,False,False,False,False,False,True,False,False,False,False,False
270.0,785000.0,685000.0,5.375,False,False,False,False,False,False,False,False,True,False,False,False,False
125.0,505000.0,475000.0,6.25,False,False,False,False,False,False,False,False,True,False,False,False,False
268.0,415000.0,395000.0,6.125,False,False,False,False,False,False,False,False,True,False,False,False,False
111.0,265000.0,265000.0,7.125,False,False,False,False,False,False,False,False,True,False,False,False,False
55.0,185000.0,175000.0,7.0,False,False,False,False,False,False,False,False,True,False,False,False,False
208.0,965000.0,705000.0,6.75,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,295000.0,225000.0,6.0,False,False,False,False,False,False,False,True,False,False,False,False,False
87.0,195000.0,185000.0,7.625,False,False,False,False,False,False,False,False,False,False,False,False,False
84.0,605000.0,155000.0,6.125,False,False,False,False,False,False,False,False,True,False,False,False,False
73.0,315000.0,305000.0,6.25,False,False,False,False,False,False,False,False,False,False,False,False,False
96.0,545000.0,435000.0,6.375,False,False,False,False,False,False,False,True,False,False,False,False,False
102.0,505000.0,405000.0,6.125,False,False,False,False,False,False,False,False,True,False,False,False,False
94.0,155000.0,145000.0,11.95,False,False,False,False,False,False,False,True,False,False,False,False,False
57.0,295000.0,235000.0,6.99,False,False,False,False,False,False,False,False,True,False,False,False,False
112.0,145000.0,145000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
107.0,225000.0,215000.0,5.999,False,False,False,False,False,False,False,False,True,False,False,False,False
52.0,235000.0,225000.0,5.999,False,False,False,False,False,False,False,False,True,False,False,False,False
185.0,345000.0,305000.0,5.25,False,False,False,False,False,False,False,False,False,False,False,False,False
144.0,305000.0,295000.0,6.499,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,285000.0,275000.0,6.75,False,False,False,False,False,False,False,True,False,False,False,False,False
52.0,295000.0,215000.0,7.999,False,False,False,False,False,False,False,False,True,False,False,False,False
389.0,1205000.0,755000.0,6.5,False,False,False,False,False,False,False,False,True,False,False,False,False
63.0,265000.0,155000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
61.0,325000.0,315000.0,6.375,False,False,False,False,False,False,False,True,False,False,False,False,False
66.0,245000.0,235000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
117.0,455000.0,435000.0,6.625,False,False,False,False,False,False,False,True,False,False,False,False,False
129.0,505000.0,455000.0,6.125,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,205000.0,205000.0,7.125,False,False,False,False,False,False,False,True,False,False,False,False,False
60.0,355000.0,285000.0,7.0,False,False,False,False,False,False,False,False,True,False,False,False,False
188.0,455000.0,445000.0,6.25,False,False,True,False,False,False,False,False,False,False,True,False,False
47.0,145000.0,145000.0,6.975,False,False,False,False,False,False,False,False,True,False,False,False,False
58.0,225000.0,225000.0,5.75,False,False,False,False,False,False,False,False,True,False,False,False,True
96.0,275000.0,255000.0,5.5,False,False,False,False,False,False,False,True,False,False,False,False,False
79.0,235000.0,225000.0,6.5,False,False,False,False,False,False,False,True,False,False,False,False,False
110.0,545000.0,435000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
89.0,355000.0,335000.0,6.75,False,False,False,False,False,False,False,False,True,False,True,False,False
47.0,205000.0,155000.0,6.0,False,False,False,False,False,False,False,False,True,False,False,False,False
99.0,365000.0,285000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
239.0,835000.0,85000.0,8.29,False,False,False,False,False,False,False,False,True,False,False,False,False
83.0,355000.0,265000.0,5.875,False,False,False,False,False,False,False,False,True,False,False,False,False
66.0,255000.0,255000.0,5.75,False,False,False,False,False,False,False,False,True,False,False,False,False
70.0,255000.0,235000.0,7.25,False,False,False,False,False,False,False,False,False,False,False,False,False
83.0,275000.0,265000.0,6.999,False,False,False,False,False,False,False,False,False,False,False,False,False
93.0,665000.0,265000.0,6.5,False,False,False,False,False,False,False,False,True,False,False,False,False
64.0,245000.0,235000.0,6.125,False,False,False,False,False,False,False,False,True,False,False,False,False
149.0,505000.0,125000.0,7.0,False,False,False,False,False,False,False,False,True,False,False,False,False
46.0,115000.0,85000.0,5.875,False,False,False,False,False,False,False,False,True,False,False,False,False
103.0,345000.0,335000.0,7.0,False,False,False,False,False,False,False,False,True,False,True,False,False
119.0,455000.0,335000.0,7.125,False,False,False,False,False,False,False,False,True,False,False,False,False
170.0,405000.0,395000.0,7.25,False,False,False,False,False,False,False,False,True,False,False,False,False
35.0,165000.0,155000.0,4.75,False,False,True,False,False,False,False,False,False,False,False,False,False
37.0,185000.0,175000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
62.0,285000.0,185000.0,6.99,False,False,False,False,False,False,False,True,False,False,False,False,False
103.0,85000.0,65000.0,6.375,False,False,False,False,False,False,False,False,True,False,False,False,False
103.0,515000.0,285000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,315000.0,315000.0,6.375,False,False,False,False,False,False,False,True,False,False,False,False,False
51.0,185000.0,185000.0,6.125,False,False,False,False,False,False,False,True,False,False,False,False,False
109.0,205000.0,165000.0,6.125,False,False,False,False,False,False,False,False,True,False,False,False,False
78.0,365000.0,215000.0,6.447,False,False,False,False,False,False,False,False,True,False,False,False,False
164.0,345000.0,335000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
79.0,365000.0,15000.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False
125.0,475000.0,385000.0,7.625,False,False,False,False,False,False,False,False,True,False,False,False,False
73.0,315000.0,305000.0,5.5,False,False,False,False,False,False,False,True,False,False,False,False,False
510.0,1285000.0,965000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
254.0,355000.0,285000.0,8.0,False,False,False,False,False,False,False,True,False,False,False,False,False
